# lou-ja2kana.csv
# Copyright 2007 Naoki Tomita <tomita@cpan.org>
# License: GPL
#
# This dictionary is based on the following resource.
# - lou-en2kana.csv (Acme::Lou)
# - edict
#   Copyright (C) 2006 The Electronic Dictionary Research 
#   and Development Group, Monash University.

〆切,エンド
〆切り,エンド
〆切日,タイムリミット
〆粕,オイルケーキ
１０代,ティーンエイジ
１等,モースト
１等賞,ファースト・プレイス・プライズ
１等兵,プライベート
２等,セカンドクラス
２等賞,セカンドプライズ
２等兵,プライベート
３等,サードクラス
３等賞,サードプライズ
４月馬鹿,エイプリルフール
ｂ系,ブラックカルチャー
ｗ杯,ワールドカップ
あーた,ユー
ああ,ライクザット
ああいう,ザット・ソート・オブ
ああした,ザット・ソート・オブ
ああだこうだ,ディス・アンド・ザット
あいつら,ゼイ
あい路,ナローパス
あお向け,フェイスアップ
あかん,ノーグッド
あきまへん,ノーグッド
あくる日,ネクストデイ
あく促,ウォーリィアバウト
あけおめ,ハッピー・ニュー・イヤー
あざーす,サンクユー
あざーっす,サンクユー
あざとい,クレバー
あしらう,アレンジ
あし毛,グレイ
あずま屋,サマーハウス
あたり前,ユージュアル
あっさり,イーズリー
あっさりした,シンプル
あっち,オーバーゼア
あっという間に,ジャスト・ライク・ザット
あっとゆう間に,ジャスト・ライク・ザット
あっと言う間に,ジャスト・ライク・ザット
あっと言う間に,ジャスト・ライク・ザット
あっ勝,コンプリートヴィクトリー
あて先,アドレス
あて名,アドレス
あと一歩,ワンモア
あどけない,イノセント
あの,ウェル
あのう,ウェル
あのように,イン・ザット・ウェイ
あの人,ヒー
あの世,アザーワールド
あの方,ヒー
あぶら身,ファットミート
あべこべ,オポジット
あほんだら,フール
あやかり者,ラッキーパースン
あられ,カインド・オブ・クッキー
あら塩,シーソルト
あら塩,シーソルト
ありあり,クリアー
ありありと,クリアリー
ありがた味,バリュー
ありがた迷惑,ホワイトエレファント
あり得る,ポッシブル
あるがまま,トゥルース
ある意味で,イン・サム・ウェイ
ある意味では,イン・サム・ウェイ
ある時,ワンス
ある種,サム・カインド・オブ
ある日,ワンデイ
あれだけ,ザットディグリー
あれっきり,シンスゼン
あれやこれや,ディス・アンド・ザット
あれ以来,シンスゼン
あれ肌,ラフスキン
あわや,イン・ノー・タイム
あわよくば,イフポッシブル
あんさん,ユー
あんた,ユー
あんだ,オイル
あんだけ,ザットディグリー
あんちょこ,キー
あんな,サッチ
あんなに,ザットディグリー
あんな風に,イン・ザット・ウェイ
あん馬,サイドホース
いい頃,ハイタイム
いい子,グッドチャイルド
いかす,クール
いかなる場合でも,イン・エニー・ケース
いかれる,ブレイクダウン
いきいき鳥,フレッシュチキン
いきり立つ,ゲットアングリー
いざ,ウェル
いざこざ,トラブル
いじらしい,イノセント
いたし方,ウェイ
いちゃいちゃ,メイクアウト
いちゃもんを付ける,ファインドフォールト
いって来ます,シー・ユー・レイター
いつかそのうち,ビフォー・ベリィ・ロング
いつも通り,アズオールウェイズ
いと,リアリー
いとも簡単に,ベリィイーズリー
いなくなった,ゴーン
いの一番,ファースト・オブ・オール
いびる,ピックオン
いま一つ,ワンモア
いやだ,ノーウェイ
いよいよという時,ラストモーメント
いよいよと言う時,ラストモーメント
いらしてください,プリーズカム
いらっしゃい,ウェルカム
いらっしゃいませ,ウェルカム
いらっしゃってください,プリーズカム
いらっしゃる,ゴー
いられないくらい,オールモスト・ノット・エイブル
ううん,ノー
うす口,ライト
うだうだ,アイドル
うちの奴,マイワイフ
うっかりミス,オーネストミステイク
うまく行く,ターン・アウト・ウェル
うら若い,ヤング
うら寂しい,ロンリィ
うら悲しい,サッド
うわさを聞く,ゲット・ウィンド・オブ
うん,イェー
うんざり,ボーリング
うんと,ベリィマッチ
うんともすんとも言わない,キープサイレント
えいや,ゴー・フォー・イット
えいやっ,ゴー・フォー・イット
ええ,イエス
ええと,レット・ミー・シー
えげつない,ダーティー
えっと,レット・ミー・シー
えり抜き,ベリィベスト
